PPT	UNF1	UNF2	FAM1	FAM2
105	0	9.09	9.09	2.44
106	0	14.89	0	4.76
107	6.98	14.89	0	4.76
110	0	11.11	0	2.44
111	6.98	30.19	9.09	13.04
113	4.76	23.4	2.44	18.37
114	4.76	50	2.44	33.33
115	0	39.29	2.44	9.09
117	9.09	49.15	4.76	35.29
118	4.76	9.09	0	20.83
119	2.44	14.89	6.98	32.14
121	0	11.11	0	6.98
122	2.44	2.44	0	6.98
123	0	4.76	21.57	13.04
124	9.09	14.89	2.44	4.76
125	0	16.67	0	9.09
126	2.44	6.98	0	11.11
127	2.44	23.08	0	13.04
129	0	21.28	2.44	6.98
131	2.44	13.04	4.76	14.89
132	0	2.44	2.44	9.09
133	4.76	0	4.76	11.11
134	2.44	20.41	9.09	34.55
137	0	2.44	6.98	6.98
138	2.44	21.74	9.09	27.08
141	0	40.74	6.98	22.45
201	0	38.98	17.02	16.67
202	0	22	0	6.98
203	0	26.42	6.98	43.28
204	2.44	40.32	6.98	42.42
205	0	32.73	4.76	24.53
207	0	26.53	2.44	2.44
208	13.33	24.53	0	17.39
210	0	13.04	0	17.39
212	13.51	13.04	0	11.11
215	2.44	22.73	11.11	21.57
216	0	21.74	2.44	11.11
217	13.04	36.67	4.76	41.38
218	0	2.44	0	11.11
219	0	0	0	4.76
222	2.44	27.45	2.44	25
225	0	13.04	2.44	23.08
226	0	11.11	2.44	4.76
227	0	4.76	4.76	20
228	4.76	13.04	2.44	11.11
230	0	37.04	6.98	4.76
232	2.44	2.44	2.44	11.11
233	0	21.74	6.98	2.44
234	0	22.22	0	28.57
235	0	36.36	0	33.33
236	11.11	25	0	34.88
238	0	43.64	4.76	49.25
239	0	32.76	4.76	40
242	0	25.93	2.44	13.04
243	0	0	2.44	39.29
244	13.04	30.77	4.76	20
