PPT,UNF4,UNF9,UNF16,FAM4,FAM9,FAM16
1,1.53,0.59,0,2.12,2.12,1.03
2,2.12,1.53,1.09,2.56,2.12,1.53
3,2.56,2.56,2.12,2.12,2.12,1.09
4,2.56,0,1.53,2.56,2.12,1.03
5,2.12,2.12,2.12,2.12,2.12,1.03
6,2.56,2.12,0,2.56,0.59,0.44
7,2.12,2.56,1.03,2.56,2.56,0.59
8,0.59,1.53,-0.51,2.12,2.12,2.56
9,2.56,0,2.12,2.56,2.56,2.56
10,2.56,2.12,2.12,2.56,2.12,2.56
11,2.56,0,-0.59,1.03,1.68,1.68
12,1.68,0,1.09,2.56,0.59,0.44
13,2.56,2.12,-0.51,2.12,2.56,2.12
14,2.56,1.53,1.68,2.12,2.56,0.59
15,2.12,2.12,0.59,2.56,2.56,0.51
16,2.56,2.56,1.68,2.56,2.56,2.12
17,2.12,1.53,0.59,1.68,2.12,0.59
18,2.12,2.56,1.68,2.56,2.12,0
19,2.12,2.12,-1.09,2.56,1.53,1.53
20,2.56,2.12,1.09,2.56,1.53,1.53
21,2.12,1.09,2.12,2.12,1.53,0
22,2.56,2.56,1.09,2.12,2.56,1.53
23,1.53,2.12,1.53,2.56,2.12,1.53
24,2.56,0,1.03,2.56,1.68,0.44
25,2.12,0.51,1.09,2.56,2.56,1.03
26,2.56,1.68,0.51,2.12,1.09,1.03
27,2.56,1.03,1.09,2.56,2.12,1.09
28,1.53,1.53,2.12,2.56,1.09,0.51
102,2.12,2.12,1.68,2.56,1.53,0.51
103,2.56,2.56,2.12,2.56,2.12,1.68
104,2.56,1.53,0.59,2.56,1.53,1.53
105,2.56,2.56,2.12,2.56,2.56,1.68
106,2.56,2.56,2.12,2.56,2.56,1.09
107,2.56,1.53,1.03,2.12,2.12,1.03
109,2.56,1.09,1.53,2.56,2.56,1.68
110,2.56,1.53,1.09,2.56,2.56,0
111,2.56,1.68,2.12,2.56,2.12,1.09
112,2.56,2.12,1.09,2.56,2.56,1.53
113,2.12,2.12,2.12,2.56,1.09,2.12
117,2.56,1.09,2.56,2.12,1.09,-0.44
118,2.12,2.12,0.44,2.56,2.56,0.51
121,2.12,2.12,2.12,2.56,2.56,0.59
124,2.56,2.12,2.12,2.56,2.56,2.12
125,1.09,1.03,-1.53,2.56,1.68,0
126,2.56,1.09,0.44,2.12,2.12,1.09
127,2.12,2.12,1.53,2.56,2.56,1.53
128,2.12,2.56,1.09,2.56,2.12,0.59
132,2.56,1.03,0.51,2.12,1.09,0
136,2.56,1.68,1.09,2.56,2.56,1.68
141,2.56,2.12,0.51,2.56,1.68,1.68
142,2.56,2.12,0,2.56,2.12,1.03
143,2.56,2.56,2.12,2.56,2.12,1.09
145,2.56,1.68,1.53,2.56,2.12,0
146,2.12,1.03,1.09,2.12,1.09,0
147,2.12,2.12,2.12,2.12,2.12,1.09
149,2.12,-0.51,0,2.12,0.59,2.12
